** CONVERTED FROM s03_d1.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Sun Jan 14 10:43:31 2018
** DATE: Fri Dec  1 22:29:34 2017
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-AAE40
** CAMERA_CONFIG: AAE40140.SCD
**

MSG	1941757 RECCFG CR 500 2 1 R
MSG	1941757 ELCLCFG MTABLER
MSG	1941757 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1941757 THRESHOLDS R 82 217
MSG	1941757 ELCL_PROC ELLIPSE  (5)
MSG	1941757 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1941758 !MODE RECORD CR 500 2 1 R
START	1941759 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	1941759	127
1941759	   .	   .	    0.0	...
SSACC R  1941761
SBLINK R 1941761
1942059	   .	   .	    0.0	...
1942061	   .	   .	    0.0	...
1942063	   .	   .	    0.0	...
1942065	   .	   .	    0.0	...
1942067	   .	   .	    0.0	...
1942069	   .	   .	    0.0	...
1942071	   .	   .	    0.0	...
1942073	   .	   .	    0.0	...
1942075	   .	   .	    0.0	...
1942077	   .	   .	    0.0	...
1942079	   .	   .	    0.0	...
1942081	   .	   .	    0.0	...
1942083	   .	   .	    0.0	...
1942085	   .	   .	    0.0	...
1942087	   .	   .	    0.0	...
1942089	   .	   .	    0.0	...
1942091	   .	   .	    0.0	...
1942093	   .	   .	    0.0	...
1942095	   .	   .	    0.0	...
1942097	   .	   .	    0.0	...
1942099	   .	   .	    0.0	...
1942101	   .	   .	    0.0	...
1942103	   .	   .	    0.0	...
1942105	   .	   .	    0.0	...
1942107	   .	   .	    0.0	...
1942109	   .	   .	    0.0	...
1942111	   .	   .	    0.0	...
1942113	   .	   .	    0.0	...
1942115	   .	   .	    0.0	...
1942117	   .	   .	    0.0	...
1942119	   .	   .	    0.0	...
1942121	   .	   .	    0.0	...
1942123	   .	   .	    0.0	...
1942125	   .	   .	    0.0	...
1942127	   .	   .	    0.0	...
1942129	   .	   .	    0.0	...
1942131	   .	   .	    0.0	...
1942133	   .	   .	    0.0	...
1942135	   .	   .	    0.0	...
1942137	   .	   .	    0.0	...
1942139	   .	   .	    0.0	...
1942141	   .	   .	    0.0	...
1942143	   .	   .	    0.0	...
1942145	   .	   .	    0.0	...
1942147	   .	   .	    0.0	...
1942149	   .	   .	    0.0	...
1942151	   .	   .	    0.0	...
1942153	   .	   .	    0.0	...
1942155	   .	   .	    0.0	...
1942157	   .	   .	    0.0	...
1942159	   .	   .	    0.0	...
1942161	   .	   .	    0.0	...
1942163	   .	   .	    0.0	...
1942165	   .	   .	    0.0	...
1942167	   .	   .	    0.0	...
1942169	   .	   .	    0.0	...
1942171	   .	   .	    0.0	...
1942173	   .	   .	    0.0	...
1942175	   .	   .	    0.0	...
1942177	   .	   .	    0.0	...
1942179	   .	   .	    0.0	...
1942181	   .	   .	    0.0	...
1942183	   .	   .	    0.0	...
