** CONVERTED FROM s45_d2.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Sun Jan 14 10:46:51 2018
** DATE: Sat Jan 13 14:17:31 2018
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-AAE40
** CAMERA_CONFIG: AAE40140.SCD
**

MSG	3533982 DRIFTCORRECT R RIGHT at 960,540  OFFSET 4.03 deg.  161.3,-30.0 pix.
INPUT	3688009	127
MSG	3688018 RECCFG CR 500 2 1 R
MSG	3688018 ELCLCFG MTABLER
MSG	3688018 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	3688018 THRESHOLDS R 91 237
MSG	3688018 ELCL_PROC ELLIPSE  (5)
MSG	3688018 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	3688019 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	3688019 !MODE RECORD CR 500 2 1 R
3688309	   .	   .	    0.0	...
3688311	   .	   .	    0.0	...
3688313	   .	   .	    0.0	...
3688315	   .	   .	    0.0	...
3688317	   .	   .	    0.0	...
3688319	   .	   .	    0.0	...
3688321	   .	   .	    0.0	...
3688323	   .	   .	    0.0	...
3688325	   .	   .	    0.0	...
3688327	   .	   .	    0.0	...
EBLINK R 3688021	3688327	308
3688329	  442.8	 2128.1	 8415.0	...
3688331	  467.3	 2059.7	 8412.0	...
3688333	  492.0	 2005.5	 8397.0	...
3688335	  519.4	 1949.6	 8359.0	...
3688337	  541.2	 1903.3	 8329.0	...
3688339	  565.7	 1838.0	 8309.0	...
3688341	  588.8	 1768.7	 8309.0	...
3688343	  607.3	 1700.3	 8308.0	...
3688345	  622.7	 1638.1	 8307.0	...
3688347	  637.9	 1583.1	 8300.0	...
3688349	  655.6	 1539.7	 8294.0	...
3688351	  674.4	 1502.4	 8293.0	...
3688353	  691.1	 1472.0	 8304.0	...
3688355	  706.8	 1439.4	 8326.0	...
3688357	  721.2	 1406.7	 8342.0	...
3688359	  730.8	 1384.3	 8326.0	...
3688361	  734.9	 1386.7	 8223.0	...
3688363	  739.3	 1384.5	 8129.0	...
3688365	  744.5	 1388.0	 8063.0	...
3688367	  751.7	 1383.0	 7950.0	...
3688369	  753.6	 1397.5	 7765.0	...
3688371	  757.6	 1406.2	 7527.0	...
3688373	  763.3	 1407.4	 7324.0	...
3688375	  774.5	 1405.5	 7180.0	...
3688377	  782.5	 1403.6	 7093.0	...
3688379	  802.5	 1378.0	 7095.0	...
3688381	  822.7	 1352.5	 7101.0	...
3688383	  841.1	 1347.7	 6995.0	...
3688385	  774.2	 1408.0	 6483.0	...
3688387	  700.6	 1469.2	 5932.0	...
3688389	  633.8	 1505.3	 5437.0	...
3688391	  640.8	 1486.2	 5316.0	...
3688393	  649.7	 1458.5	 5204.0	...
3688395	  654.0	 1434.8	 5077.0	...
3688397	  657.3	 1423.1	 4962.0	...
3688399	  658.9	 1420.0	 4872.0	...
3688401	  663.9	 1421.3	 4829.0	...
3688403	  668.3	 1425.7	 4783.0	...
3688405	  673.7	 1426.2	 4743.0	...
3688407	  678.3	 1408.8	 4723.0	...
3688409	  686.6	 1391.2	 4732.0	...
3688411	  698.9	 1362.8	 4741.0	...
3688413	  744.8	 1346.0	 4697.0	...
3688415	  794.9	 1322.4	 4643.0	...
3688417	  848.8	 1305.0	 4597.0	...
3688419	  876.8	 1274.9	 4633.0	...
3688421	  904.3	 1244.5	 4686.0	...
3688423	  925.6	 1216.6	 4746.0	...
3688425	  938.2	 1194.1	 4803.0	...
3688427	  948.2	 1165.2	 4871.0	...
3688429	  959.6	 1129.8	 4944.0	...
3688431	  974.3	 1089.5	 5014.0	...
3688433	  986.6	 1058.3	 5079.0	...
3688435	  995.8	 1034.9	 5146.0	...
3688437	 1011.8	 1029.3	 5509.0	...
3688439	 1025.0	 1028.2	 5897.0	...
3688441	 1039.2	  991.1	 6297.0	...
3688443	 1043.8	  942.7	 6378.0	...
3688445	 1048.7	  884.8	 6413.0	...
3688447	 1051.8	  864.0	 6443.0	...
3688449	 1049.6	  851.9	 6473.0	...
3688451	 1047.0	  849.9	 6504.0	...
3688453	 1052.2	  827.3	 6540.0	...
3688455	 1063.0	  791.1	 6616.0	...
3688457	 1073.6	  757.1	 6684.0	...
3688459	 1077.1	  745.8	 6716.0	...
3688461	 1079.4	  717.6	 6791.0	...
3688463	 1083.5	  681.5	 6872.0	...
